p_hghst_yr_schl_ns_85_yrs_ovr, p_hghst_yr_schl_ns_75_84_yrs, p_y8b_85ov, p_tot_75_84_yrs, p_y8b_35_44_yrs, p_tot_35_44_yrs, p_y8b_tot, p_tot_45_54_yrs, p_tot_85ov, gcc_code16, p_y8b_65_74_yrs, p_tot_tot, p_y8b_20_24_yrs, p_tot_65_74_yrs, p_tot_55_64_yrs, p_dngts_35_44, gcc_name16, p_dngts_55_64, p_y8b_55_64_yrs, p_hghst_yr_schl_ns_55_64_yrs, p_hghst_yr_schl_ns_20_24_yrs, p_hghst_yr_schl_ns_35_44_yrs, p_hghst_yr_schl_ns_65_74_yrs, p_dngts_20_24, p_y8b_75_84_yrs, p_y8b_25_34_yrs, p_y8b_45_54_yrs, p_dngts_75_84, p_tot_25_34_yrs, p_dngts_tot, p_dngts_85_ov, p_hghst_yr_schl_ns_45_54_yrs, p_dngts_65_74, p_dngts_45_54, p_dngts_15_19, p_tot_20_24_yrs, p_tot_15_19_yrs, p_hghst_yr_schl_ns_tot, p_hghst_yr_schl_ns_25_34_yrs, p_dngts_25_34, p_hghst_yr_schl_ns_15_19_yrs, p_y8b_15_19_yrs
20407,26835,18442,202253,9102,694811,151166,627407,95638,"1GSYD",37182,3750866,1952,367792,521046,5123,"Greater Sydney",10209,28673,36252,23631,45578,32978,1309,32730,6407,15825,9501,772496,52964,4564,41031,9260,7885,259,339500,129926,299210,58414,4853,14082,860
17800,28696,16038,168304,4565,306558,112563,348742,71173,"1RNSW",29700,2074873,1290,301957,362949,763,"Rest of NSW",1382,21011,31988,11984,24023,34090,221,26510,3501,8995,1713,293340,8417,832,28773,1672,1068,129,149276,72576,211346,24073,638,9933,946
17541,25764,24476,190606,9924,636134,178326,585573,88049,"2GMEL",46532,3482872,2485,334229,472467,5457,"Greater Melbourne",8058,24882,32982,21304,39294,30102,1532,45953,7994,14510,9199,727388,48484,3902,36716,8004,7046,372,331946,116482,267958,50939,4909,13331,1570
8889,14876,12077,84663,2916,165490,71777,190520,38215,"2RVIC",19343,1100730,1092,154188,193894,854,"Rest of Vic.",872,9218,17656,6490,13406,17936,242,19142,2557,4623,836,157839,5953,381,16344,896,1024,103,80229,35682,114332,13278,743,5461,809
9043,12112,10310,87771,3700,313746,75180,294573,38489,"3GBRI",23233,1737230,950,177197,241252,1559,"Greater Brisbane",1968,9038,16193,11263,18936,15223,479,19065,2778,5626,1169,338762,10831,573,18162,1413,2029,124,169068,76376,131402,23407,1516,7063,484
11962,22088,13339,134452,3857,314596,106657,336960,49227,"3RQLD",35761,1958951,899,271162,322051,963,"Rest of Qld",1211,13364,31797,14139,28727,31443,300,28976,2826,6987,1082,307980,7622,535,31515,1288,1223,126,146790,75738,212780,30581,891,10524,644
6026,8369,9178,67182,2168,165741,49757,172199,33998,"4GADE",12901,1009592,536,117027,154769,1440,"Greater Adelaide",1711,5777,9093,4490,8641,9104,319,13919,1871,3056,1876,176338,10694,945,9319,1510,1767,85,88216,34133,67818,9600,1046,3179,351
2358,3634,3495,24133,678,42326,21185,52696,10214,"4RSAU",6615,298644,182,46583,55756,205,"Rest of SA",190,2548,5023,1635,3830,4940,54,5884,579,1075,196,40088,1335,90,4801,215,221,16,18426,8411,31212,3682,149,1307,136
8744,12548,6593,81004,2838,265935,45533,252263,34520,"5GPER",10713,1477007,580,148696,207784,1489,"Greater Perth",1613,6151,14522,9210,17658,13765,385,12569,2047,3668,1538,298175,10274,772,16272,1294,1634,95,131316,57322,121076,22555,1458,5790,376
2051,4268,1862,23456,854,79450,16502,83612,7878,"5RWAU",4577,449409,241,54569,76845,233,"Rest of WA",320,2472,9837,3679,10939,7344,80,4363,629,1258,293,80809,1983,146,11290,338,289,34,28211,14584,64432,12384,246,2638,252
887,1687,1362,11547,275,27579,6475,29478,5194,"6GHOB",1365,171992,106,21034,28547,132,"Greater Hobart",143,931,2034,881,1732,1992,30,1684,263,395,85,28574,829,46,1938,98,176,23,13984,6050,13721,1915,90,649,87
1364,2858,2280,16722,384,31802,11502,39793,6401,"6RTAS",2758,222040,137,32588,41071,156,"Rest of Tas.",142,1703,3429,1083,2161,3733,56,3094,332,700,108,29413,997,60,3032,133,208,24,15666,8582,20818,2094,114,1066,108
180,599,169,3298,348,23170,3599,20716,770,"7GDAR",981,115420,53,9838,16487,91,"Greater Darwin",150,735,2500,1406,3250,1633,35,556,227,487,85,28047,697,33,2983,119,103,3,9557,3541,17607,4309,86,740,34
95,409,80,1926,1140,13566,7152,13560,362,"7RNTE",969,77685,593,7464,12371,161,"Rest of NT",269,1134,2316,1502,2407,1465,76,329,1220,1189,183,17029,1542,56,2489,272,273,54,7297,4108,14911,3154,187,1070,501
1382,1751,892,13922,371,58500,6628,51309,6100,"8ACTE",1684,307981,120,28354,41155,175,"Australian Capital Territory",211,1094,2617,1919,3461,2119,57,1613,259,540,236,65900,1389,105,3121,199,213,10,31290,11460,21826,4397,174,1063,70
13,45,3,216,6,698,188,797,59,"9OTER",59,4225,0,599,821,0,"Other Territories",47,62,152,74,141,99,0,22,6,26,22,698,135,0,163,50,9,0,241,92,927,213,0,31,0
